dt:1.02081084251,J_ar:202,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.03298616409,J_ar:202,J_se:31,J_ds:17,J_ss:3,J_ms:17
dt:1.01379680634,J_ar:205,J_se:30,J_ds:17,J_ss:4,J_ms:17
dt:1.05796599388,J_ar:209,J_se:32,J_ds:17,J_ss:4,J_ms:17
dt:1.04469704628,J_ar:206,J_se:32,J_ds:18,J_ss:4,J_ms:18
dt:1.02284407616,J_ar:204,J_se:30,J_ds:17,J_ss:4,J_ms:17
dt:1.02046895027,J_ar:205,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.00575995445,J_ar:201,J_se:30,J_ds:17,J_ss:4,J_ms:17
dt:1.0136590004,J_ar:199,J_se:30,J_ds:17,J_ss:4,J_ms:17
dt:1.01555013657,J_ar:203,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.05775785446,J_ar:211,J_se:31,J_ds:17,J_ss:4,J_ms:17
dt:1.05229210854,J_ar:180,J_se:31,J_ds:18,J_ss:5,J_ms:18
dt:1.04479408264,J_ar:99,J_se:31,J_ds:18,J_ss:4,J_ms:18
dt:1.04535698891,J_ar:111,J_se:32,J_ds:17,J_ss:5,J_ms:17
dt:1.04147696495,J_ar:90,J_se:30,J_ds:18,J_ss:4,J_ms:18
dt:1.01519393921,J_ar:107,J_se:32,J_ds:17,J_ss:5,J_ms:17
dt:1.01114392281,J_ar:108,J_se:30,J_ds:17,J_ss:4,J_ms:17
dt:1.01662302017,J_ar:81,J_se:31,J_ds:17,J_ss:4,J_ms:17
